,name,Max диаметр сверления (металл),Max диаметр шурупа,Max крутящий момент ,Max размер крепежа,amount_of_reviews,description,Вес нетто,Длина кабеля,Зарядное устройство в комплекте,Количество аккумуляторов в комплекте,Мах диаметр сверления (бетон),Мах диаметр сверления (дерево),Мах диаметр сверления (кирпич),Мощность,Напряжение аккумулятора,Посадочный квадрат,Регулировка глубины завинчивания,Регулировка частоты вращения,Серия аккумулятора,Тип аккумулятора,Тип двигателя,Тип патрона,Упаковка,Частота вращения шпинделя
1529,"Бесщеточная аккумуляторная дрель P.I.T. X-DRIVER 12 В, 35 Нм, патр. 10 мм, 2 ск., АКБ 1.5 Ач, ЗУ, кор. PBM12K-10B/1",6 мм,,,,,Max крутящий момент : 35 Нм,,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1530,Ударная аккумуляторная дрель-шуруповерт Bosch EasyImpact 12 0.603.9B6.102,8 мм,,30 Нм,,14,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1 кг,,нет,,,20 мм,6 мм,,12 В,,,,,Li-Ion,,,,
1531,Шуруповерт для гипсокартона AEG BTS12C-0 4935459624,,,3 Нм,,9,Поставляется без аккумулятора и зарядного устройства - вы не переплачиваете,1.17 кг,,нет,,,,,,12 В,,,,,Li-Ion,,,,
1532,Аккумуляторный шуруповерт Hanskonner HCD1855R,,,55 Нм,,6,,1.3 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1533,Аккумуляторная дрель-шуруповерт Makita LXT DDF485RFJ,13 мм,,50 Нм,,31,,1.45 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
1534,Аккумуляторная дрель-шуруповерт Энкор ДША-20Л2 50035,10 мм,,32 Нм,,7,,1.17 кг,,есть,,,20 мм,,,18 В,,,,,Li-Ion,,,,
1535,"Аккумуляторный ударный бесщеточный шуруповерт Makita 180Нм, М5-М16 DTD172Z",,,180 Нм,,27,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,0.85 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
1536,Аккумуляторная бесщеточная дрель-шуруповерт DENZEL BLDL-IB-18-02 26121,13 мм,,65 Нм,,28,Повышенный крутящий момент,3.35 кг,,есть,,,23 мм,,,18 В,,,,,Li-Ion,,,,
1537,Аккумуляторная дрель-шуруповерт Bosch GSR 180-LI 2х2А*ч 0.601.9F8.123,10 мм,,54 Нм,,337,Для сверления отверстий диаметром до 35 мм в древесине и до 10 мм в металле,1.6 кг,,есть,,,35 мм,,,18 В,,,,,Li-Ion,,,,
1538,Аккумуляторная дрель-шуруповерт Black+Decker BDCDC18KB,10 мм,,30 Нм,,35,Эргономика и мощность: крутящий момент до 30 Нм для работы с крупным крепежом,0.78 кг,,есть,,,25 мм,,,18 В,,,,,Li-Ion,,,,
1539,Аккумуляторная ударная дрель-шуруповерт Ryobi ONE+ R18PD2-0 5133003815,10 мм,,45 Нм,,13,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.45 кг,,нет,,,32 мм,10 мм,,18 В,,,,,Li-Ion/Ni-Cd,,,,
1540,Электрическая отвертка Манкупер K09,,,,,,Max крутящий момент : 50 Нм,1.5 кг,,есть,,,,,,12 В,,,,,,,,,
1541,"Набор электроинструмента ЕРМАК 29 предметов, шуруповерт 20В (2Ач, 2шт, 35Нм) 691-047",,,,,,Max крутящий момент : 35 Нм,2.232 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
1542,Аккумуляторная дрель-шуруповерт PATRIOT BR 241ES 180201241,10 мм,,33 Нм,,18,Работайте без простоев – 2 батареи в комплекте и время заряда 1 час,2.5 кг,,есть,,,22 мм,,,24 В,,,,,Li-Ion,,,,
1543,"Бесщеточный аккумуляторный шуруповерт KLPRO 18 В / 2,0 Ач 11978 KLNM18B-20",13 мм,,60 Нм,,10,,4.3 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
1544,Аккумуляторная ударная дрель-шуруповерт BOSCH GSB 18V-150 C 06019J5105,16 мм,,,,,Max крутящий момент : 150 Нм,2.4 кг,,есть,,,150 мм,20 мм,,18 В,,,,,Li-Ion,,,,
1545,Аккумуляторная дрель-шуруповерт Metabo BS 18 602207550,10 мм,,48 Нм,,52,,1.3 кг,,есть,,,20 мм,,,18 В,,,,,Li-Ion,,,,
1546,Аккумуляторная дрель-шуруповерт Zitrek Greenpower 20-Li 063-4076,10 мм,,42 Нм,,192,,1.505 кг,,есть,,,28 мм,,,20 В,,,,,Li-Ion,,,,
1547,Аккумуляторная ударная дрель-шуруповерт AEG BSB12C2LI-X02B 4935451418,10 мм,,32 Нм,,11,Отличный стартовый комплект для выездных работ,1.45 кг,,есть,,,20 мм,10 мм,,12 В,,,,,Li-Ion,,,,
1548,Импульсный винтоверт AEG BSS12G3 LI-202C 4935471061,,,130 Нм,,7,Технология AEG PROLITHIUMION защищает аккумулятор от перегрузки,1.08 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1549,Бесщеточная дрель-шуруповерт AEG BSB18C2BL LI-202C 4935464096,13 мм,,60 Нм,,5,Скорость до 1950 об/мин для сверления даже твердых материалов,1.7 кг,,есть,,,40 мм,13 мм,,18 В,,,,,Li-Ion,,,,
1550,"Аккумуляторная ударная дрель-шуруповерт DEWALT DCD709M2T, 18 В, 1650 об/мин, 28050 уд/мин, с 2 АКБ 4 Ач и ЗУ, в кейсе TSTAK DCD709M2T-QW",13 мм,,,,,Max крутящий момент : 65 Нм,1.2 кг,,есть,,13 мм,30 мм,,,18 В,,,,,Li-Ion,,,,
1551,Аккумуляторный ударный винтоверт Metabo SB 18 LTX BL Q I 602361660,13 мм,,,,,Max крутящий момент : 130 Нм,,,есть,,16 мм,68 мм,,,18 В,,,,,Li-Ion,,,,
1552,Аккумуляторная дрель-шуруповерт Makita DDF484RME,13 мм,,54 Нм,,26,,1.5 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
1553,Сетевая дрель-шуруповерт BRAIT BD550НC 21.01.053.049,,,,,,Мощность: 550 Вт,1.3 кг,2 м,,,,,,,,,,,,,,,,0-350/0-750 об/мин
1554,Аккумуляторная дрель-шуруповерт Союз ДШС-12П1,,,45 Нм,,20,,1.5 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1555,Аккумуляторная дрель-шуруповерт AEG Compact BS18C2 LI-202C 4935459721,13 мм,,50 Нм,,34,"Комплектация для выездных работ: кейс, 2 аккумулятора, зарядное устройство",1.68 кг,,есть,,,40 мм,,,18 В,,,,,Li-Ion,,,,
1556,Аккумуляторная дрель-шуруповерт Bosch GSR 180-Li 0.601.9F8.120,10 мм,,54 Нм,,249,,1.59 кг,,есть,,,35 мм,,,18 В,,,,,Li-Ion,,,,
1557,Аккумуляторная дрель-шуруповерт Metabo BS 18 L BL Q 602327800,13 мм,,60 Нм,,42,,1.2 кг,,есть,,,32 мм,,,18 В,,,,,Li-Ion,,,,
1558,Аккумуляторная дрель-шуруповерт Einhell PXC TE-CD 18 Li-Solo 4513692,10 мм,,48 Нм,,12,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.1 кг,,нет,,,32 мм,,,18 В,,,,,Li-Ion,,,,
1559,Аккумуляторная дрель-шуруповерт Makita CXT DF332DWME,10 мм,,35 Нм,,36,,1.2 кг,,есть,,,28 мм,,,12 В,,,,,Li-Ion,,,,
1560,Дрель Энкор ДШЭ-280ЭР/10 50065,10 мм,,14 Нм,,38,,1.2 кг,2.5 м,,,,20 мм,,280 Вт,,,нет,,,,,,,0-830 об/мин
1561,Дрель-шуруповерт Ryobi R12DD-220S 5133005063,10 мм,,30 Нм,,3,Удобное наблюдение за состоянием аккумулятора с индикатором уровня заряда,1 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
1562,Бесщеточная дрель-шуруповерт Ryobi ONE+ R18DD5-220S 5133003733,13 мм,,50 Нм,,7,Электронная автоматическая регулировка крутящего момента,1.4 кг,,есть,,,32 мм,,,18 В,,,,,Li-Ion/Ni-Cd,,,,
1563,Аккумуляторная дрель Metabo PowerMaxx BS Basic Set с набором оснастки 600080880,10 мм,,34 Нм,,81,,0.8 кг,,есть,,,18 мм,,,12 В,,,,,Li-Ion,,,,
1564,Ударная дрель-шуруповерт AEG BSB18SBL-0 4935478456,13 мм,,65 Нм,,14,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,1.4 кг,,нет,,,40 мм,13 мм,,18 В,,,,,Li-Ion,,,,
1565,Аккумуляторная дрель-шуруповерт Metabo BS 18 L BL Q 602327500,13 мм,,60 Нм,,105,,1.2 кг,,есть,,,32 мм,,,18 В,,,,,Li-Ion,,,,
1566,Бесщеточный ультракомпактный импульсный шуруповерт Dewalt 18 В XR DCF840D2T-QW,,,192 Нм,,29,,0.88 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1567,Аккумуляторный ударный гайковерт Metabo PowerMaxx SSD 12 601114500,,,115 Нм,,6,,1.1 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1568,Ударный аккумуляторный винтоверт SENIX PDIX2-M2-EU SET,,,180 Нм,,5,,0.9 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
1569,Аккумуляторная дрель-шуруповерт AEG 18В BS18G4-201C 4935499174,13 мм,,,,,Max крутящий момент : 60 Нм,1.7 кг,,есть,,,54 мм,,,18 В,,,,,Li-Ion,,,,
1570,Аккумуляторная дрель-шуруповерт Metabo BS 14.4 602206530,10 мм,,40 Нм,,331,,1.2 кг,,есть,,,20 мм,,,14.4 В,,,,,Li-Ion,,,,
1571,Ударная аккумуляторная дрель Hanskonner HCD1865BLI,,,65 Нм,,20,Эффективный бесщеточный двигатель и функция удара,3.5 кг,,есть,,,,13 мм,,18 В,,,,,Li-Ion,,,,
1572,Аккумуляторная ударная дрель-шуруповерт Bosch GSB 36 V-LI 0.601.9C1.100,16 мм,,,,,Max крутящий момент : 100 Нм,3.4 кг,,есть,,,102 мм,20 мм,,36 В,,,,,Li-Ion,,,,
1573,Аккумуляторная дрель-шуруповерт AEG BSB18C2X LI-202C 4935459424,13 мм,,50 Нм,,9,Подстраивается под любой крепеж – 24 ступени регулировки крутящего момента,1.7 кг,,есть,,,40 мм,13 мм,,18 В,,,,,Li-Ion,,,,
1574,"Ударный бесщеточный шуруповерт KLPRO профессиональный, 18 В / 2.0 Ач, 70 Нм KLDM18BH-20",13 мм,,70 Нм,,5,,1.8 кг,,есть,,10 мм,40 мм,13 мм,,18 В,,,,,Li-Ion,,,,
1575,Бесщёточный импульсный шуруповерт Dewalt DCF887P2,,,205 Нм,,21,,1.56 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1576,Аккумуляторная дрель-шуруповерт Bosch GSR 18V-60 C 0.601.9G1.100,13 мм,,60 Нм,,51,,1.7 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
1577,Аккумуляторный шуруповёрт Bosch GSR 18V-110 C 06019G0109,13 мм,,110 Нм,,7,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,2.55 кг,,нет,,,82 мм,,,18 В,,,,,Li-Ion,,,,
1578,Аккумуляторная дрель-шуруповерт DEWALT DCD 790 D2,13 мм,,60 Нм,,23,с бесщеточным двигателем,1.62 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
1579,Аккумуляторный гайковерт AEG BSS 12C LI-202C 4935443965,,,115 Нм,,13,Импульсный удар для эффективного откручивания и закручивания крепежа,1 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1580,Аккумуляторный шуруповерт TOUA DCD120,10 мм,,21 Нм,,12,,0.99 кг,,есть,,,25 мм,,,10.8 В,,,,,Li-Ion,,,,
1581,Шуруповерт AEG S 4000 E 4935413215,,5 мм,10 Нм,,12,Идеальный результат при серийном закручивании крепежа,1.4 кг,4 м,,,,,,720 Вт,,,есть,,,,,,,0-4000 об/мин
1582,Аккумуляторный винтоверт Metabo SB 18 LTX Impuls Set 602192960,13 мм,,,,,Max крутящий момент : 110 Нм,2.5 кг,,есть,,,65 мм,16 мм,,18 В,,,,,Li-Ion,,,,
1583,Аккумуляторная дрель AEG BS 14C LI-202C 443971,,,50 Нм,,8,"Отличный комплект для выездных работ: кейс, 2 аккумулятора и зарядное устройство",1.7 кг,,есть,,,,,,14.4 В,,,,,Li-Ion,,,,
1584,Бесщеточная ударная дрель-шуруповерт Ryobi ONE+ R18PD5-220S 5133003734,13 мм,,50 Нм,,12,Легко подобрать режим под конкретный материал с регулируемой частотой вращения,1.5 кг,,есть,,,32 мм,13 мм,,18 В,,,,,Li-Ion,,,,
1585,Аккумуляторная бесщёточная ударная дрель YATO 18 В 120 Н/м YT-8277915,,,,,,Max крутящий момент : 120 Нм,4.13 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1586,"Аккумуляторная дрель-шуруповерт BULL SR 1803 в коробке, XLTpro бесщеточная, 2x2 Ач, 18 В, 45 Нм, БЗП 10 мм 1329602",10 мм,,,,,Max крутящий момент : 45 Нм,0.83 кг,,есть,,,35 мм,,,18 В,,,,,Li-Ion,,,,
1587,"Ультра компактная дрель-шуруповерт Dewalt 18В, 4Ач DCD708M",13 мм,,65 Нм,,8,,1.45 кг,,есть,,,35 мм,,,18 В,,,,,Li-Ion,,,,
1588,Импульсный винтоверт в кейсе AEG BSS18C LI-202C 4935459899,,,180 Нм,,8,"Выгодное приобретение – в комплекте 2 аккумулятора, зарядное устройство, кейс",1.56 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1589,"Аккумуляторная дрель-шуруповерт DEKO DKCD20FU-Li SET со съемным патроном в кейсе, оснастка 13 шт 3 063-4177",10 мм,,42 Нм,,68,Съемный патрон для работы в труднодоступных местах и быстрой смены оснастки,1.5 кг,,есть,,,28 мм,,,20 В,,,,,Li-Ion,,,,
1590,Аккумуляторная дрель-шуруповёрт Master МАСТЕР ДА- 18/2 Li 00-00021597,13 мм,,40 Нм,,59,,2.24 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
1591,Ударная дрель-шуруповерт Ryobi 18В R18PD3-220TAH 5133005506,13 мм,,,,,Max крутящий момент : 50 Нм,1.3 кг,,есть,,13 мм,38 мм,,,18 В,,,,,Li-Ion,,,,
1592,Аккумуляторная дрель-шуруповерт Makita LXT DDF481Z,13 мм,,115 Нм,,51,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,2.6 кг,,нет,,,76 мм,,,18 В,,,,,Li-Ion,,,,
1593,Аккумуляторная ударная дрель-шуруповерт Einhell PXC TE-CD 18/40 Li-i +64 2x2.0 Ah 4513992,,,40 Нм,,50,,1.46 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1594,Аккумуляторная дрель-шуруповерт Makita HP332DWAE,10 мм,,35 Нм,,2,,1.1 кг,,есть,,,28 мм,8 мм,,10.8 В,,,,,Li-Ion,,,,
1595,"Дрель-шуруповерт MasterMan 12 В, 1,3 Ач, 1 аккамулятор Li-Ion 31DY16",,,,,,Max крутящий момент : 30 Нм,1.05 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1596,Бесщеточная дрель-шуруповерт AEG BS18C2BL LI-402C 4935464095,13 мм,,65 Нм,,18,Бесщеточный двигатель обеспечивает крутящий момент до 65 Нм,1.9 кг,,есть,,,40 мм,,,18 В,,,,,Li-Ion,,,,
1597,Аккумуляторная ударная дрель Elitech 2х4.0Ач ДА 18УБЛ2 191609,13 мм,,75 Нм,,15,,2.2 кг,,есть,,,32 мм,13 мм,,18 В,,,,,Li-Ion,,,,
1598,Аккумуляторная дрель-шуруповерт Metabo PowerMaxx BS Quick BASIC 12В 600156950,10 мм,,34 Нм,,109,,0.8 кг,,есть,,,18 мм,,,12 В,,,,,Li-Ion,,,,
1599,Аккумуляторный шуруповерт DEWALT DCF 815 D2,,,107 Нм,,60,Полностью металлический редуктор и корпус для работы с крепежом большого размера,1.04 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1600,Аккумуляторная дрель-шуруповерт Elitech ДА 12 СЛ Промо E2201.012.01 203081,10 мм,,,,,Max крутящий момент : 23 Нм,2.6 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1601,Аккумуляторный шуруповерт Bosch GSR 120-LI 2 А*ч 0.601.9G8.020,10 мм,,30 Нм,,882,Компактный дизайн: удобно работать с труднодоступным крепежом,0.96 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1602,Аккумуляторная дрель-шуруповерт AEG BS 18G2 Li-152C 433950,13 мм,,50 Нм,,50,Прочный металлический патрон и тройная защита аккумулятора,1.8 кг,,есть,,,34 мм,,,18 В,,,,,Li-Ion,,,,
1603,"Бесщеточный импульсный шуруповерт DEWALT 18 В XR батарея POWERSTACK, чемодан TSTAK DCF840E1T-XJ",,,192 Нм,,20,Максимально компактный дизайн: длина инструмента – всего 100 мм,0.88 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
1604,Ударная бесщеточная аккумуляторная дрель-шуруповерт P.I.T. PSB20H-13B,10 мм,,75 Нм,,21,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.5 кг,,нет,,10 мм,25 мм,15 мм,,20 В,,,,,Li-Ion,,,,
1605,Аккумуляторный винтоверт Metabo BS 18 LTX BL I 1х4 Ач Li Power + ЗУ ASC 55 T03501,13 мм,,130 Нм,,39,,2.2 кг,,есть,,,68 мм,,,18 В,,,,,Li-Ion,,,,
1606,Аккумуляторная дрель-шуруповерт MASTERS SD-12L-2 18808,,,,,,Max крутящий момент : 25 Нм,0.96 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1607,Аккумуляторная дрель-шуруповерт Bosch EasyDrill 1200 06039D3006,8 мм,,30 Нм,,33,,0.8 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1608,Аккумуляторная дрель-шуруповерт Makita DHP481Z,13 мм,,115 Нм,,45,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,2.7 кг,,нет,,,76 мм,16 мм,,18 В,,,,,Li-Ion,,,,
1609,Дрель-шуруповерт Ryobi ONE+ R18DD2-213S 5133004374,10 мм,,40 Нм,,29,Умная настройка – можно подобрать скорость в зависимости от задачи,1.42 кг,,есть,,,32 мм,,,18 В,,,,,Li-Ion,,,,
1610,Аккумуляторная дрель-шуруповерт Makita CXT DF332DWAE,10 мм,,35 Нм,,52,,1 кг,,есть,,,28 мм,,,12 В,,,,,Li-Ion,,,,
1611,Ударная дрель-шуруповерт Makita DHP489Z,13 мм,,73 Нм,,2,Аккумулятор и зарядное устройство не входит в комплект поставки.,,,нет,,,51 мм,,,,,,,,Li-Ion,,,,
1612,"Аккумуляторная дрель-шуруповерт Dewalt DCD800NT, 20 В, 2000 об/мин, без АКБ и ЗУ, в кейсе TSTAK DCD800NT-A9",13 мм,,90 Нм,,,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,1.2 кг,,нет,,,55 мм,,,18 В,,,,,Li-Ion,,,,
1613,Дрель-шуруповерт Ryobi 18В R18DD3-120TAH 5133005507,13 мм,,,,,Max крутящий момент : 50 Нм,1.3 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
1614,Дрель-шуруповерт Ryobi ONE+ R18DD2-120G 5133004419,10 мм,,40 Нм,,24,Аккуратное закручивание любых шурупов: 24 ступени крутящего момента,1.42 кг,,есть,,,32 мм,,,18 В,,,,,Li-Ion,,,,
1615,"Бесщеточная ударная дрель-шуруповерт DEWALT XRP 18 В, 2 АКБ XR Li-Ion 5.0 Ач + 1 АКБ XR Li-Ion 6.0 Ач DCD996TP2-QW",15 мм,,95 Нм,,14,В комплекте 3 мощных аккумулятора для максимально продолжительной работы,1.6 кг,,есть,,16 мм,55 мм,,,18 В,,,,,Li-Ion,,,,
1616,Ударная дрель-шуруповерт Ryobi ONE+ R18PD3-215S 5133003339,13 мм,,50 Нм,,6,Выгодная комплектация – не нужно ничего докупать и переплачивать,1.7 кг,,есть,,,38 мм,13 мм,,18 В,,,,,Li-Ion,,,,
1617,Аккумуляторная дрель DEKO GCD12DU3063-4096 063-4096,10 мм,,32 Нм,,350,,1.02 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
1618,Аккумуляторная дрель-шуруповерт Metabo BS 14.4 602206540,10 мм,,40 Нм,,84,,1.2 кг,,есть,,,20 мм,,,14.4 В,,,,,Li-Ion,,,,
1619,Аккумуляторный винтоверт Metabo BS 18 LTX Impuls Set 602191960,13 мм,,110 Нм,,49,,2 кг,,есть,,,65 мм,,,18 В,,,,,Li-Ion,,,,
1620,Ударный аккумуляторный винтоверт WORX WX291.9,,,170 Нм,,7,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.45 кг,,нет,,,,,,20 В,,,,,Li-Ion,,,,
1621,Аккумуляторная дрель-шуруповерт AEG BS14G3LI-152C 4935451092,10 мм,,32 Нм,,80,Высокая надежность за счет планетарного редуктора с металлическими шестернями,1.2 кг,,есть,,,30 мм,,,14.4 В,,,,,Li-Ion,,,,
1622,Бесщеточная аккумуляторная дрель-шуруповерт AEG 18В BS18C3BL-202C 4935478934,13 мм,,110 Нм,,,24 положения муфты для аккуратного закручивания шурупов разного размера,,,есть,,,65 мм,,,18 В,,,,,Li-Ion,,,,
1623,Аккумуляторная дрель-шуруповерт ELITECH ДА 18БЛ2 E2201.011.02,13 мм,,,,,Max крутящий момент : 60 Нм,1.2 кг,,есть,,,32 мм,,,18 В,,,,,Li-Ion,,,,
1624,"Аккумуляторная бесщёточная дрель-шуруповерт WORX Switchdriver 2.0 , 50Нм, 20В, без АКБ и ЗУ WX177.9",,,50 Нм,,5,,0.82 кг,,нет,,,,,,20 В,,,,,Li-Ion,,,,
1625,Ударная дрель-шуруповерт AEG BSB18SBL-202C 4935478455,13 мм,,65 Нм,,7,"Работа без напряжения в руке – вес инструмента с аккумулятором составляет 1,3 кг",1.4 кг,,есть,,,40 мм,13 мм,,18 В,,,,,Li-Ion,,,,
1626,Аккумуляторная дрель Felisatti ДА-12В 191.5.5.10,10 мм,,,,,Max крутящий момент : 40 Нм,0.9 кг,,есть,,,30 мм,,,12 В,,,,,Li-Ion,,,,
1627,"Дрель-шуруповерт STEHER 16В, 1 АКБ 2Ач CD-160-1",10 мм,,35 Нм,,5,,0.9 кг,,есть,,,25 мм,,,16 В,,,,,Li-Ion,,,,
1628,Аккумуляторный шуруповерт Sturm BatterySystem12V CD1240BLC,10 мм,,40 Нм,,7,,2.16 кг,,есть,,,30 мм,,,12 В,,,,,Li-Ion,,,,
1629,Аккумуляторная ударная дрель-шуруповерт AEG BSB12C2 LI-402B 4935446696,10 мм,,40 Нм,,10,Надежность за счет металлического корпуса редуктора и металлических шестерней,1.4 кг,,есть,,,20 мм,10 мм,,12 В,,,,,Li-Ion,,,,
1630,Аккумуляторная дрель Elitech ДА 18СЛ2 2х2.0Ач 191617,13 мм,,45 Нм,,31,,1.6 кг,,есть,,,32 мм,,,18 В,,,,,Li-Ion,,,,
1631,Аккумуляторная ударная дрель-шуруповерт Makita DHP484Z,13 мм,,54 Нм,,44,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.6 кг,,нет,,13 мм,38 мм,,,18 В,,,,,Li-Ion,,,,
1632,Аккумуляторная дрель Metabo BS 18 L Quick 602320500,10 мм,,50 Нм,,64,,1.6 кг,,есть,,,20 мм,,,18 В,,,,,Li-Ion,,,,
1633,"Аккумуляторная бесщеточная дрель-шуруповерт Zitrek Greenpower 20 Pro (20В, Li-ion аккум. 2шт, ЗУ, кейс, бита) 063-4061",15 мм,,42 Нм,,57,,2 кг,,есть,,,30 мм,,,20 В,,,,,Li-Ion,,,,
1634,Аккумуляторная ударная дрель-шуруповерт Bosch GSB 18V-50 06019H5106,13 мм,,50 Нм,,22,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.1 кг,,нет,,13 мм,35 мм,13 мм,,18 В,,,,,Li-Ion,,,,
1635,Аккумуляторный ударный гайковерт Bosch GDR 120-LI Solo 0.601.9F0.000,,,100 Нм,,142,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.05 кг,,нет,,,,,,12 В,,,,,Li-Ion,,,,
1636,Аккумуляторная бесщеточная дрель-шуруповерт Bosch GSR 12V-35 Solo 0.601.9H8.000,10 мм,,35 Нм,,42,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,0.75 кг,,нет,,,32 мм,,,12 В,,,,,Li-Ion,,,,
1637,Ударная дрель-шуруповерт DEWALT DCD776S2,13 мм,,42 Нм,,94,Электронная регулировка скорости вращения для точной работы с материалами,1.72 кг,,есть,,,30 мм,13 мм,,18 В,,,,,Li-Ion,,,,
1638,Аккумуляторная дрель-шуруповерт SLOGGER CD314Li,10 мм,,35 Нм,,2,,2.11 кг,,есть,,,22 мм,,,14.4 В,,,,,Li-Ion,,,,
1639,"Дрель-шуруповерт аккумуляторный VERTER 12В, 2 АКБ, 1500 мАч, 1500 об/мин, крутящий момент 20 Н*м VER99182",,,,,,Max крутящий момент : 20 Нм,,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1640,Аккумуляторный винтоверт Metabo BS 18 LTX Impuls 602191500,13 мм,,110 Нм,,22,,2 кг,,есть,,,65 мм,,,18 В,,,,,Li-Ion,,,,
1641,Электрический шуруповерт REDVERG RD-SD400/2 6621688,10 мм,,24 Нм,,5,,1.75 кг,4 м,,,,20 мм,,400 Вт,,,,,,,,,,0-450/0-1350 об/мин
1642,Аккумуляторный шуруповерт Bosch GSR 18V-110C 06019G010C,13 мм,,110 Нм,,4,,2.55 кг,,есть,,,82 мм,,,18 В,,,,,Li-Ion,,,,
1643,Аккумуляторная дрель-шуруповерт Bosch GSR 18V-60 FC 0.601.9G7.100,13 мм,,60 Нм,,10,,0.9 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
1644,Аккумуляторная дрель-шуруповерт Einhell PXC TC-CD 18/35 Li 4513914,10 мм,,35 Нм,,19,,1.3 кг,,есть,,,32 мм,,,18 В,,,,,Li-Ion,,,,
1645,"Аккумуляторная дрель-шуруповерт P.I.T. 20 В, 1.5 Ач PSR18-D3",10 мм,,30 Нм,,98,,2.36 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
1646,Дрель-шуруповерт Dewalt 12 В XR с набором из 4-х насадок DCD703L2T-QW,10 мм,,57.5 Нм,,5,,0.73 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1647,Аккумуляторная дрель 12В DEKO DKCD12FU-Li 063-4100,10 мм,,28 Нм,,129,,1.1 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1648,Аккумуляторная дрель-шуруповёрт Bosch GSR 18-2-LI Plus Professional 0.601.9E6.120,13 мм,,63 Нм,,81,,1.49 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
1649,Бесщеточная дрель-шуруповерт Ryobi ONE+ R18DDBL-225B 5133003611,13 мм,,60 Нм,,19,Оптимальная комплектация с возможностью дополнения инструментом One+,1.25 кг,,есть,,,50 мм,,,18 В,,,,,Li-Ion,,,,
1650,Бесщеточный аккумуляторный шуруповерт по гипсокартону AEG BTS18BL LI-202B 4935464104,,,5 Нм,,13,Можно превратить в ленточный шуруповерт для серийного вкручивания крепежа,1.7 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1651,"Дрель-шуруповерт аккумуляторная ударная бесщеточная DEKO ZKCD20V PRO Impact в кейсе, 20В, 135 Нм, 2x3.0Ач 084-1034",13 мм,,,,,Max крутящий момент : 135 Нм,2.74 кг,,есть,,,38 мм,,,20 В,,,,,Li-Ion,,,,
